Date,Open,High,Low,Close,Adj Close,Volume
2022-06-22,26.240000,27.100000,26.160000,26.700001,26.700001,424400
2022-06-23,26.879999,27.350000,26.733000,27.200001,27.200001,551900
2022-06-24,27.629999,28.340000,27.629999,28.330000,28.330000,1005100
2022-06-27,28.830000,29.020000,28.080000,29.020000,29.020000,787300
2022-06-28,29.160000,29.570000,28.570000,28.610001,28.610001,500000
2022-06-29,28.559999,28.660000,27.930000,28.530001,28.530001,388300
2022-06-30,28.480000,31.190001,28.330000,30.680000,30.680000,1898500
2022-07-01,30.370001,30.629999,29.340000,30.620001,30.620001,869900
2022-07-05,30.120001,32.900002,30.000000,32.889999,32.889999,1096100
2022-07-06,32.880001,33.439999,32.090000,32.200001,32.200001,727500
2022-07-07,32.169998,32.480000,31.900000,31.940001,31.940001,562600
2022-07-08,31.780001,32.099998,31.459999,31.600000,31.600000,546200
2022-07-11,31.520000,31.760000,31.040001,31.180000,31.180000,449800
2022-07-12,31.309999,31.830000,30.840000,31.190001,31.190001,414300
2022-07-13,30.750000,31.514999,30.580000,31.209999,31.209999,353300
2022-07-14,30.840000,31.174999,30.549999,30.820000,30.820000,425700
2022-07-15,31.280001,31.940001,31.025000,31.799999,31.799999,548900
2022-07-18,32.000000,32.520000,31.600000,31.840000,31.840000,386100
2022-07-19,32.500000,32.630001,31.980000,32.439999,32.439999,397600
2022-07-20,32.259998,33.320000,32.040001,33.320000,33.320000,571900
2022-07-21,33.740002,34.630001,33.240002,34.320000,34.320000,788100
2022-07-22,34.299999,34.299999,32.160000,32.919998,32.919998,674900
2022-07-25,33.369999,33.369999,32.509998,33.080002,33.080002,482600
2022-07-26,32.770000,32.770000,32.083000,32.340000,32.340000,539600
2022-07-27,32.599998,33.009998,32.250000,32.709999,32.709999,627900
2022-07-28,32.900002,33.310001,32.308998,33.189999,33.189999,473100
2022-07-29,32.990002,33.619999,32.730000,33.529999,33.529999,528500
2022-08-01,33.560001,34.339001,32.939999,33.889999,33.889999,842600
2022-08-02,34.009998,34.950001,33.750000,34.070000,34.070000,518800
2022-08-03,34.110001,34.567001,33.680000,33.869999,33.869999,590900
2022-08-04,36.450001,36.740002,34.759998,36.180000,36.180000,1978200
2022-08-05,35.320000,37.770000,35.110001,37.450001,37.450001,1064400
2022-08-08,37.650002,38.169998,36.849998,37.230000,37.230000,882100
2022-08-09,37.080002,37.180000,36.279999,36.549999,36.549999,831100
2022-08-10,37.279999,37.334999,35.869999,36.480000,36.480000,947800
2022-08-11,36.740002,37.040001,36.294998,36.410000,36.410000,665300
2022-08-12,36.029999,36.770000,35.880001,36.700001,36.700001,646500
2022-08-15,36.419998,37.930000,36.419998,37.930000,37.930000,828100
2022-08-16,37.680000,37.990002,37.381001,37.680000,37.680000,609400
2022-08-17,37.500000,37.910000,37.290001,37.610001,37.610001,428500
2022-08-18,37.360001,38.450001,37.320000,38.419998,38.419998,461700
2022-08-19,38.130001,38.130001,37.480000,37.910000,37.910000,451000
2022-08-22,37.450001,37.834999,37.200001,37.500000,37.500000,430000
2022-08-23,37.540001,37.827000,37.330002,37.470001,37.470001,366600
2022-08-24,37.520000,38.520000,37.445000,38.099998,38.099998,840200
2022-08-25,38.110001,38.910000,37.950001,38.410000,38.410000,526200
2022-08-26,38.480000,38.789001,36.750000,36.980000,36.980000,486800
2022-08-29,36.380001,37.305000,36.125000,36.919998,36.919998,377300
2022-08-30,36.990002,37.930000,36.680000,37.900002,37.900002,646800
2022-08-31,37.959999,38.900002,37.650002,38.130001,38.130001,925000
2022-09-01,37.950001,38.485001,37.180000,38.439999,38.439999,625900
2022-09-02,38.840000,39.209999,38.043999,38.320000,38.320000,658200
2022-09-06,38.450001,38.730000,37.230000,37.990002,37.990002,576200
2022-09-07,38.080002,39.154999,37.299999,39.029999,39.029999,641900
2022-09-08,38.689999,39.500000,38.450001,38.950001,38.950001,634800
2022-09-09,38.970001,39.401001,38.665001,38.880001,38.880001,558900
2022-09-12,38.849998,39.290001,38.709999,38.980000,38.980000,416800
2022-09-13,38.110001,38.720001,37.849998,38.200001,38.200001,449500
2022-09-14,38.480000,40.500000,38.040001,40.480000,40.480000,812900
2022-09-15,40.650002,40.889999,39.480000,40.400002,40.400002,594800
2022-09-16,40.099998,40.099998,38.950001,39.369999,39.369999,851300
2022-09-19,39.099998,39.849998,39.070000,39.509998,39.509998,520100
2022-09-20,39.220001,39.689999,39.029999,39.520000,39.520000,396600
2022-09-21,40.470001,41.310001,39.740002,39.820000,39.820000,868800
2022-09-22,40.110001,40.110001,39.049999,39.410000,39.410000,494400
2022-09-23,38.820000,39.202000,37.837002,38.660000,38.660000,792400
2022-09-26,38.509998,39.759998,38.299999,38.750000,38.750000,535100
2022-09-27,39.270000,39.630001,37.439999,37.500000,37.500000,777600
2022-09-28,37.680000,38.549999,37.240002,38.279999,38.279999,618700
2022-09-29,37.880001,37.880001,37.060001,37.549999,37.549999,381900
2022-09-30,37.340000,38.700001,36.770000,37.619999,37.619999,711700
2022-10-03,38.009998,38.820000,37.334999,38.590000,38.590000,628900
2022-10-04,39.310001,40.084999,38.959999,39.680000,39.680000,548500
2022-10-05,39.220001,39.275002,37.970001,39.029999,39.029999,459200
